Source,File,Metric,Avg,Min,Med,Max,P90,P95,Value,Rate,Percentage,Count,Total
Cloud With Content,Baseline,iteration_duration,1.1s,1.07s,1.1s,1.47s,1.13s,1.16s,,,,,
Cloud With Content,Baseline,iterations,,,,,,,331,2.734448/s,,,
Cloud With Content,Baseline,vus,,1,,9,,,2,,,,
Cloud With Content,Baseline,vus_max,,10,,10,,,10,,,,
Cloud With Content,Load,data_received,,,,,,,5.3 GB,,,,
Cloud With Content,Load,data_sent,,,,,,,15 MB,,,,
Cloud With Content,Load,http_req_blocked,75.72µs,0s,0s,141.73ms,0s,0s,,,,,
Cloud With Content,Load,http_req_connecting,26.22µs,0s,0s,62.87ms,0s,0s,,,,,
Cloud With Content,Load,http_req_duration,218.44ms,57.96ms,108.52ms,3.4s,506.33ms,730.64ms,,,,,
Cloud With Content,Load,http_req_failed,,,,,,,,,0.00%,2,135260
Cloud With Content,Load,http_req_receiving,5.98ms,0s,4.31ms,415.95ms,13.07ms,18.4ms,,,,,
Cloud With Content,Load,http_req_sending,242.92µs,0s,219.8µs,6.42ms,583.2µs,651.1µs,,,,,
Cloud With Content,Load,http_req_tls_handshaking,46.95µs,0s,0s,83.94ms,0s,0s,,,,,
Cloud With Content,Load,http_req_waiting,212.21ms,46.23ms,102.31ms,3.37s,500.74ms,723.55ms,,,,,
Cloud With Content,Load,http_reqs,,,,,,,135260,64.335022/s,,,
Cloud With Content,Load,iteration_duration,1.21s,1.05s,1.1s,4.4s,1.5s,1.73s,,,,,
Cloud With Content,Load,iterations,,,,,,,135260,64.335022/s,,,
Cloud With Content,Load,vus,,1,,199,,,34,,,,
Cloud With Content,Load,vus_max,,200,,200,,,200,,,,
Cloud With Content,Soak,data_received,,,,,,,84 GB,,,,
Cloud With Content,Soak,data_sent,,,,,,,295 MB,,,,
Cloud With Content,Soak,http_req_blocked,11.3µs,0s,0s,447.26ms,0s,0s,,,,,
Cloud With Content,Soak,http_req_connecting,4.01µs,0s,0s,212.87ms,0s,0s,,,,,
Cloud With Content,Soak,http_req_duration,734.28ms,29.42ms,573.59ms,9.87s,1.34s,1.58s,,,,,
Cloud With Content,Soak,http_req_failed,,,,,,,,,0.00%,96,2144196
Cloud With Content,Soak,http_req_receiving,11.4ms,0s,6.44ms,6.85s,25.06ms,27.62ms,,,,,
Cloud With Content,Soak,http_req_sending,168.15µs,0s,58.7µs,37.04ms,529.1µs,591.3µs,,,,,
Cloud With Content,Soak,http_req_tls_handshaking,6.41µs,0s,0s,287.62ms,0s,0s,,,,,
Cloud With Content,Soak,http_req_waiting,722.71ms,28.52ms,561.96ms,9.87s,1.33s,1.56s,,,,,
Cloud With Content,Soak,http_reqs,,,,,,,2144196,111.676689/s,,,
Cloud With Content,Soak,iteration_duration,1.73s,1.03s,1.57s,10.87s,2.35s,2.58s,,,,,
Cloud With Content,Soak,iterations,,,,,,,2144196,111.676689/s,,,
Cloud With Content,Soak,vus,,1,,200,,,1,,,,
Cloud With Content,Soak,vus_max,,200,,200,,,200,,,,
Cloud With Content,Spike,data_received,,,,,,,1.3 GB,,,,
Cloud With Content,Spike,data_sent,,,,,,,4.0 MB,,,,
Cloud With Content,Spike,http_req_blocked,767µs,0s,0s,239.55ms,0s,0s,,,,,
Cloud With Content,Spike,http_req_connecting,301.7µs,0s,0s,79.55ms,0s,0s,,,,,
Cloud With Content,Spike,http_req_duration,2.78s,62.22ms,2.97s,7.44s,4.51s,4.89s,,,,,
Cloud With Content,Spike,http_req_failed,,,,,,,,,0.04%,16,32589
Cloud With Content,Spike,http_req_receiving,3.56ms,0s,2.1ms,586.59ms,7.38ms,9.99ms,,,,,
Cloud With Content,Spike,http_req_sending,137.35µs,0s,85.4µs,8.54ms,368.92µs,509µs,,,,,
Cloud With Content,Spike,http_req_tls_handshaking,461.49µs,0s,0s,205.6ms,0s,0s,,,,,
Cloud With Content,Spike,http_req_waiting,2.77s,55.91ms,2.97s,7.43s,4.51s,4.89s,,,,,
Cloud With Content,Spike,http_reqs,,,,,,,32589,101.735633/s,,,
Cloud With Content,Spike,iteration_duration,3.78s,1.06s,3.97s,8.44s,5.51s,5.9s,,,,,
Cloud With Content,Spike,iterations,,,,,,,32589,101.735633/s,,,
Cloud With Content,Spike,vus,,1,,500,,,4,,,,
Cloud With Content,Spike,vus_max,,500,,500,,,500,,,,
Cloud With Content,Stress,data_received,,,,,,,14 GB,,,,
Cloud With Content,Stress,data_sent,,,,,,,40 MB,,,,
Cloud With Content,Stress,http_req_blocked,70.19µs,0s,0s,267.2ms,0s,0s,,,,,
Cloud With Content,Stress,http_req_connecting,25.63µs,0s,0s,125.25ms,0s,0s,,,,,
Cloud With Content,Stress,http_req_duration,1.39s,32.17ms,1.24s,6.62s,3.02s,3.55s,,,,,
Cloud With Content,Stress,http_req_failed,,,,,,,,,0.00%,24,356227
Cloud With Content,Stress,http_req_receiving,3.8ms,0s,1.66ms,1.04s,7.75ms,15.2ms,,,,,
Cloud With Content,Stress,http_req_sending,145.88µs,0s,73.89µs,20.1ms,433.8µs,551.6µs,,,,,
Cloud With Content,Stress,http_req_tls_handshaking,42.67µs,0s,0s,202.05ms,0s,0s,,,,,
